"Account Name","Logo URL","Website","Product Name","Related To","Purchase History Name","Install Date","Status","Usage End Date","Purchase Date","Purchase History Purchase History"
"CENGN","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/cengn.svg","http://cengn.ca","Associate Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","CENGN - The Linux Foundation - Associate Membership - 2020","1/1/2020","Active","12/31/2020","11/23/2019","The Linux Foundation Associate Membership"
"National Insurance Producer Registry (NIPR)","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/national-insurance-producer-registry-nipr.svg","http://www.nipr.com/","Associate Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","National Insurance Producer Registry (NIPR) - The Linux Foundation - Associate Membership - 2020","1/1/2020","Active","12/31/2020","11/24/2019","The Linux Foundation Associate Membership"
"Open Sourcing Mental Illness, LTD","","","Associate Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Open Sourcing Mental Illness, LTD - The Linux Foundation - Associate Membership - 2020","1/1/2020","Active","12/31/2020","11/24/2019","The Linux Foundation Associate Membership"
"Vilnius Gediminas Technical University","","www.vgtu.it","Associate Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Vilnius Gediminas Technical University - The Linux Foundation - Associate Membership - 2020","1/1/2020","Active","12/31/2020","11/24/2019","The Linux Foundation Associate Membership"
"Kerala Blockchain Academy","","","Associate Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Kerala Blockchain Academy - The Linux Foundation - Associate Membership - 2020","1/1/2020","Active","12/31/2020","11/26/2019","The Linux Foundation Associate Membership"
"MIT Connection Science","","www.mit.edu","Associate Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","MIT Connection Science - The Linux Foundation - Associate Membership - 2020","1/1/2020","Active","12/31/2020","11/23/2019","The Linux Foundation Associate Membership"
"Arizona State University","","http://www.asu.edu","Associate Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Arizona State University - The Linux Foundation - Associate Membership - 2020","5/1/2020","Purchased","12/31/2020","11/27/2019","The Linux Foundation Associate Membership"
"Compute Canada","","www.computecanada.ca","Associate Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Compute Canada - The Linux Foundation - Associate Membership - 2020","1/1/2020","Active","12/31/2020","11/22/2019","The Linux Foundation Associate Membership"
"Visual Effects Society","","","Associate Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Visual Effects Society - The Linux Foundation - Associate Membership - 2020","1/1/2020","Active","12/31/2020","11/22/2019","The Linux Foundation Associate Membership"
"The University of Hong Kong","","","Associate Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","The University of Hong Kong - The Linux Foundation - Associate Membership - 2019","12/1/2019","Active","11/30/2020","12/10/2019","2019 The Linux Foundation Associate Membership"
"OpenAirInterface Software Alliance (OSA)","","www.openairinterface.org","Associate Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","OpenAirInterface Software Alliance (OSA) - The Linux Foundation - Associate Membership - 2020","1/1/2020","Active","12/31/2020","11/23/2019","The Linux Foundation Associate Membership"
"Iowa State University of Science  and Technology","","http://www.iastate.edu","Associate Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Iowa State University of Science  and Technology - The Linux Foundation - Associate Membership - 2020","2/1/2020","Active","12/31/2020","1/29/2020","The Linux Foundation Associate Membership"
"USC Center for CPS & IoT (CCI), Viterbi School of Engineering","","www.usc.edu","Associate Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","USC Center for CPS & IoT (CCI), Viterbi School of Engineering - The Linux Foundation - Associate Membership - 2020","1/1/2020","Active","12/31/2020","11/24/2019","The Linux Foundation Associate Membership"
"Okinawa Open Laboratory","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/okinawa-open-laboratory.svg","www.okinawaopenlabs.org","Associate Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Okinawa Open Laboratory - The Linux Foundation - Associate Membership - 2020","1/1/2020","Active","12/31/2020","11/23/2019","The Linux Foundation Associate Membership"
"Software Engineering Lab of Zhejiang University","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/software-engineering-lab-of-zhejiang-university.svg","http://www.zju.edu.cn","Associate Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Software Engineering Lab of Zhejiang University - The Linux Foundation - Associate Membership - 2020","1/1/2020","Active","12/31/2020","11/24/2019","The Linux Foundation Associate Membership"
"Project Haystack","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/project-haystack.svg","http://project-haystack.org/","Associate Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Project Haystack - The Linux Foundation - Associate Membership - 2020","1/1/2020","Active","12/31/2020","1/1/2020","The Linux Foundation Associate Membership"
"Science & Technology Facilities Council (STFC)","","www.stfc.ac.uk","Associate Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Science & Technology Facilities Council (STFC) - The Linux Foundation - Associate Membership - 2020","1/1/2020","Active","12/31/2020","11/23/2019","The Linux Foundation Associate Membership"
"Vanderbilt University","","http://www.vanderbilt.edu","Associate Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Vanderbilt University - The Linux Foundation - Associate Membership - 2020","1/1/2020","Active","12/31/2020","11/23/2019","The Linux Foundation Associate Membership"
"FIWARE Foundation e. V.","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/fiware-foundation-e-v.svg","","Associate Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","FIWARE Foundation e. V. - The Linux Foundation - Associate Membership - 2020","1/1/2020","Active","12/31/2020","11/23/2019","The Linux Foundation Associate Membership"
"ISSAT Mateur","","http://www.issatm.rnu.tn/fr/index.php","Associate Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","ISSAT Mateur - The Linux Foundation - Associate Membership - 2020","1/1/2020","Active","12/31/2020","11/24/2019","The Linux Foundation Associate Membership"
"Cambridge Centre for Alternative Finance","","https://www.jbs.cam.ac.uk","Associate Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Cambridge Centre for Alternative Finance - The Linux Foundation - Associate Membership - 2020","1/1/2020","Active","12/31/2020","11/24/2019","The Linux Foundation Associate Membership"
"Ministry of Citizens Services","","https://www2.gov.bc.ca/gov/content/governments/organizational-structure/ministries-organizations/ministries/citizens-services","Associate Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Ministry of Citizens Services - The Linux Foundation - Associate Membership - 2020","1/1/2020","Active","12/31/2020","11/24/2019","The Linux Foundation Associate Membership"
"Wikimedia Foundation","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/wikimedia-foundation.svg","http://","Associate Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Wikimedia Foundation - The Linux Foundation - Associate Membership - 2020","1/1/2020","Active","12/31/2020","11/24/2019","The Linux Foundation Associate Membership"
"Mobility Open Blockchain Initiative (MOBI)","","www.dlt.mobi","Associate Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Mobility Open Blockchain Initiative (MOBI) - The Linux Foundation - Associate Membership - 2020","1/1/2020","Active","12/31/2020","11/23/2019","The Linux Foundation Associate Membership"
"China Academy of Information and Communications Technology (CAICT)","","http://www.caict.ac.cn/english/","Associate Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","China Academy of Information and Communications Technology (CAICT) - The Linux Foundation - Associate Membership - 2020","1/1/2020","Active","12/31/2020","11/23/2019","The Linux Foundation Associate Membership"
"Sun Yat-sen University","","http://sysu.edu.cn/2012/en/index.htm","Associate Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Sun Yat-sen University - The Linux Foundation - Associate Membership - 2020","1/1/2020","Active","12/31/2020","11/22/2019","The Linux Foundation Associate Membership"
"New Mexico Consortium","","http://newmexicoconsortium.org/","Associate Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","New Mexico Consortium - The Linux Foundation - Associate Membership - 2020","1/1/2020","Active","12/31/2020","11/22/2019","The Linux Foundation Associate Membership"
"Automotive Edge Computing Consortium, Inc.","","","Associate Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Automotive Edge Computing Consortium, Inc. - The Linux Foundation - Associate Membership - 2020","2/1/2020","Active","12/31/2020","1/29/2020","The Linux Foundation Associate Membership"
"SDNLAB","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/sdnlab.svg","","Associate Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","SDNLAB - The Linux Foundation - Associate Membership - 2020","1/1/2020","Active","12/31/2020","11/23/2019","The Linux Foundation Associate Membership"
"Xidian University","","","Associate Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Xidian University - The Linux Foundation - Associate Membership - 2019","11/1/2019","Active","10/31/2020","10/23/2019","The Linux Foundation Associate Membership"
"Her Majesty's Government","","www.digital.cabinet-office.gov.uk","Associate Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Her Majesty's Government - The Linux Foundation - Associate Membership - 2019","12/1/2019","Active","12/31/2020","11/4/2019","2018 The Linux Foundation Associate Membership"
"MEF Forum","","www.mef.net","Associate Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","MEF Forum - The Linux Foundation - Associate Membership - 2020","1/1/2020","Active","12/31/2020","11/23/2019","The Linux Foundation Associate Membership"
"CERTH (Centre for Research and Technology Hellas)","","https://www.certh.gr","Associate Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","CERTH (Centre for Research and Technology Hellas) - The Linux Foundation - Associate Membership - 2020","1/1/2020","Active","12/31/2020","11/23/2019","The Linux Foundation Associate Membership"
"Beijing Institute of Technology","","","Associate Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Beijing Institute of Technology - The Linux Foundation - Associate Membership - 2019","11/1/2019","Active","10/31/2020","10/23/2019","The Linux Foundation Associate Membership"
